Rk,Player,Squad,Age,Weekly Wages,Annual Wages
30,Nicolas Pépé,Arsenal,24,£ 140000 (€ 166959 $170131),£ 7280000 (€ 8681871 $8846810)
31,Jamie Vardy,Leicester City,32,£ 140000 (€ 166959 $170131),£ 7280000 (€ 8681871 $8846810)
32,İlkay Gündoğan,Manchester City,28,£ 140000 (€ 166959 $170131),£ 7280000 (€ 8681871 $8846810)
33,James Milner,Liverpool,33,£ 140000 (€ 166959 $170131),£ 7280000 (€ 8681871 $8846810)
34,Jordan Henderson,Liverpool,29,£ 140000 (€ 166959 $170131),£ 7280000 (€ 8681871 $8846810)
35,Wilfried Zaha,Crystal Palace,26,£ 130000 (€ 155033 $157979),£ 6760000 (€ 8061737 $8214895)
36,Kasper Schmeichel,Leicester City,32,£ 130000 (€ 155033 $157979),£ 6760000 (€ 8061737 $8214895)
37,David Luiz,Arsenal,32,£ 125769 (€ 149988 $152837),£ 6540000 (€ 7799373 $7947547)
38,Max Meyer,Crystal Palace,23,£ 125000 (€ 149071 $151903),£ 6500000 (€ 7751671 $7898938)
39,Rodri,Manchester City,23,£ 121154 (€ 144484 $147229),£ 6300000 (€ 7513158 $7655894)
40,Ashley Young,Manchester Utd,34,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
41,Fred,Manchester Utd,26,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
42,Nemanja Matić,Manchester Utd,30,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
43,Victor Lindelöf,Manchester Utd,25,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
44,Christian Benteke,Crystal Palace,28,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
45,Aymeric Laporte,Manchester City,25,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
46,Willian,Chelsea,30,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
47,Bernard,Everton,26,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
48,Yerry Mina,Everton,24,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
49,Alex Oxlade-Chamberlain,Liverpool,25,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
50,Naby Keïta,Liverpool,24,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
51,Claudio Bravo,Manchester City,36,£ 115000 (€ 137145 $139750),£ 5980000 (€ 7131537 $7267023)
52,André Gomes,Everton,26,£ 112308 (€ 133934 $136479),£ 5840000 (€ 6964578 $7096892)
53,Héctor Bellerín,Arsenal,24,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065)
54,Marcos Rojo,Manchester Utd,29,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065)
55,Kyle Walker,Manchester City,29,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065)
56,Jorginho,Chelsea,27,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065)
57,Olivier Giroud,Chelsea,32,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065)
58,Adam Lallana,Liverpool,31,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065)
59,Mateo Kovačić,Chelsea,25,£ 106731 (€ 127283 $129702),£ 5550000 (€ 6618734 $6744478)
60,Bernd Leno,Arsenal,27,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
61,Granit Xhaka,Arsenal,26,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
62,Sead Kolašinac,Arsenal,26,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
63,Sokratis Papastathopoulos,Arsenal,31,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
64,Dele Alli,Tottenham,23,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
65,Hugo Lloris,Tottenham,32,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
66,Mamadou Sakho,Crystal Palace,29,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
67,Jack Wilshere,West Ham,27,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
68,João Moutinho,Wolves,32,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
69,Rui Patrício,Wolves,31,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
70,Benjamin Mendy,Manchester City,25,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
71,Ederson,Manchester City,25,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
72,John Stones,Manchester City,25,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
73,Antonio Rüdiger,Chelsea,26,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
74,Marcos Alonso,Chelsea,28,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
75,Ross Barkley,Chelsea,25,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
76,Gylfi Sigurðsson,Everton,29,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
77,Jordan Pickford,Everton,25,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
78,Morgan Schneiderlin,Everton,29,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
79,Theo Walcott,Everton,30,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
80,Dejan Lovren,Liverpool,30,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
81,Fabinho,Liverpool,25,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
82,Joël Matip,Liverpool,27,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
83,Sadio Mané,Liverpool,27,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
84,Pedro,Chelsea,32,£ 99808 (€ 119027 $121288),£ 5190000 (€ 6189411 $6306998)
85,Odion Ighalo,Manchester Utd,30,£ 99038 (€ 118110 $120354),£ 5150000 (€ 6141708 $6258389)
86,Son Heung-min,Tottenham,27,£ 95000 (€ 113294 $115446),£ 4940000 (€ 5891270 $6003193)
87,Leroy Sané,Manchester City,23,£ 95000 (€ 113294 $115446),£ 4940000 (€ 5891270 $6003193)
88,Pepe Reina,Aston Villa,36,£ 91923 (€ 109624 $111707),£ 4780000 (€ 5700459 $5808757)
89,Shkodran Mustafi,Arsenal,27,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235)
90,Aaron Wan-Bissaka,Manchester Utd,21,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235)
91,Gabriel Jesus,Manchester City,22,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235)
92,Lucas Digne,Everton,26,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235)
93,Richarlison,Everton,22,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235)
94,Alisson,Liverpool,26,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235)
95,Jan Vertonghen,Tottenham,32,£ 89808 (€ 107101 $109136),£ 4670000 (€ 5569277 $5675083)
96,Tudor Băluță,Brighton,20,£ 89808 (€ 107101 $109136),£ 4670000 (€ 5569277 $5675083)
97,Pablo Marí,Arsenal,25,£ 85000 (€ 101368 $103294),£ 4420000 (€ 5271136 $5371278)
98,Felipe Anderson,West Ham,26,£ 85000 (€ 101368 $103294),£ 4420000 (€ 5271136 $5371278)
99,Nabil Bentaleb,Newcastle Utd,24,£ 85000 (€ 101368 $103294),£ 4420000 (€ 5271136 $5371278)
100,Eric Bailly,Manchester Utd,25,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
101,Érik Lamela,Tottenham,27,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
102,Lucas Moura,Tottenham,26,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
103,Moussa Sissoko,Tottenham,29,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
104,Pablo Fornals,West Ham,23,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
105,Jonny Evans,Leicester City,31,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
106,Joelinton,Newcastle Utd,22,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
107,João Cancelo,Manchester City,25,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
108,Andreas Christensen,Chelsea,23,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
109,Fabian Delph,Everton,29,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
110,Xherdan Shaqiri,Liverpool,27,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
111,Mason Mount,Chelsea,20,£ 76923 (€ 91736 $93479),£ 4000000 (€ 4770259 $4860885)
112,Cédric Soares,Arsenal,27,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
113,Kieran Tierney,Arsenal,22,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
114,Lucas Torreira,Arsenal,23,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
115,Jesse Lingard,Manchester Utd,26,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
116,Phil Jones,Manchester Utd,27,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
117,Danny Ings,Southampton,27,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
118,Christian Eriksen,Tottenham,27,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
119,Steven Bergwijn,Tottenham,21,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
120,Gary Cahill,Crystal Palace,33,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
121,Pablo Zabaleta,West Ham,34,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
122,Jonny Castro,Wolves,25,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
123,Dennis Praet,Leicester City,25,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
124,Wilfred Ndidi,Leicester City,22,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
125,Jean-Philippe Gbamin,Everton,23,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
126,Georginio Wijnaldum,Liverpool,28,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
127,Nathaniel Clyne,Liverpool,28,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
128,Takumi Minamino,Liverpool,24,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
129,Sergio Romero,Manchester Utd,32,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
130,Abdoulaye Doucouré,Watford,26,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
131,Andre Gray,Watford,28,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
132,Ismaila Sarr,Watford,21,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
133,Ryan Bertrand,Southampton,29,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
134,Giovani Lo Celso,Tottenham,23,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
135,Serge Aurier,Tottenham,26,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
136,Angelo Ogbonna,West Ham,31,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
137,Manuel Lanzini,West Ham,26,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
138,Michail Antonio,West Ham,29,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
139,Sébastien Haller,West Ham,25,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
140,Winston Reid,West Ham,31,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
141,Ricardo Pereira,Leicester City,25,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
142,Jonjo Shelvey,Newcastle Utd,27,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
143,Séamus Coleman,Everton,30,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
144,Issa Diop,West Ham,22,£ 66923 (€ 79810 $81326),£ 3480000 (€ 4150125 $4228970)
145,Brandon Williams,Manchester Utd,18,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
146,Troy Deeney,Watford,31,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
147,Oriol Romeu,Southampton,27,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
148,Sofiane Boufal,Southampton,25,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
149,Davinson Sánchez,Tottenham,23,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
150,Victor Wanyama,Tottenham,28,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
151,Cheikhou Kouyaté,Crystal Palace,29,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
152,Łukasz Fabiański,West Ham,34,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
153,Ben Chilwell,Leicester City,22,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
154,Leighton Baines,Everton,34,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
155,Patrick Cutrone,Wolves,21,£ 62885 (€ 74994 $76419),£ 3270000 (€ 3899687 $3973773)
156,Danny Welbeck,Watford,28,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
157,Gerard Deulofeu,Watford,25,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
158,Jannik Vestergaard,Southampton,26,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
159,Nathan Redmond,Southampton,25,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
160,Shane Long,Southampton,32,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
161,Ben Davies,Tottenham,26,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
162,Danny Rose,Tottenham,29,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
163,Eric Dier,Tottenham,25,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
164,Cenk Tosun,Crystal Palace,28,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
165,Connor Wickham,Crystal Palace,26,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
166,Scott Dann,Crystal Palace,32,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
167,Vicente Guaita,Crystal Palace,32,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
168,Danny Drinkwater,Aston Villa,29,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
169,Daniel Podence,Wolves,23,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
170,Kelechi Iheanacho,Leicester City,22,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
171,Wes Morgan,Leicester City,35,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
172,Allan Saint-Maximin,Newcastle Utd,22,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
173,Angeliño,Manchester City,22,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
174,Michael Keane,Everton,26,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
175,Jeffrey Schlupp,Crystal Palace,26,£ 55962 (€ 66738 $68006),£ 2910000 (€ 3470363 $3536294)
176,Ryan Sessegnon,Tottenham,19,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
177,Andros Townsend,Crystal Palace,28,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
178,Jaïro Riedewald,Crystal Palace,22,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
179,James McArthur,Crystal Palace,31,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
180,Luka Milivojević,Crystal Palace,28,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
181,Patrick van Aanholt,Crystal Palace,28,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
182,Jarrod Bowen,West Ham,22,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
183,Diogo Jota,Wolves,22,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
184,Ben Mee,Burnley,29,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
185,Demarai Gray,Leicester City,23,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
186,James Maddison,Leicester City,22,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
187,Adrián,Liverpool,32,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
188,Yoshinori Mutō,Newcastle Utd,27,£ 54038 (€ 64444 $65669),£ 2810000 (€ 3351107 $3414772)
189,Moise Kean,Everton,19,£ 53077 (€ 63298 $64500),£ 2760000 (€ 3291479 $3354011)
190,Dani Ceballos,Arsenal,22,£ 51923 (€ 61922 $63098),£ 2700000 (€ 3219925 $3281097)
191,Gedson Fernandes,Tottenham,20,£ 50769 (€ 60546 $61696),£ 2640000 (€ 3148371 $3208184)
192,Calum Chambers,Arsenal,24,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
193,Daniel James,Manchester Utd,21,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
194,Josip Drmić,Norwich City,26,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
195,Phil Jagielka,Sheffield Utd,36,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
196,Tom Cleverley,Watford,29,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
197,Alex McCarthy,Southampton,29,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
198,Maya Yoshida,Southampton,30,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
199,Pierre Højbjerg,Southampton,23,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
200,Stuart Armstrong,Southampton,27,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
201,Harry Winks,Tottenham,23,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
202,Toby Alderweireld,Tottenham,30,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
203,James McCarthy,Crystal Palace,28,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
204,James Tomkins,Crystal Palace,30,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
205,Jefferson Lerma,Bournemouth,24,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
206,Aaron Cresswell,West Ham,29,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
207,Albian Ajeti,West Ham,22,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
208,Carlos Sánchez,West Ham,33,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
209,Mark Noble,West Ham,32,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
210,Douglas Luiz,Aston Villa,21,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
211,Trézéguet,Aston Villa,24,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
212,Wesley Moraes,Aston Villa,22,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
213,Rúben Neves,Wolves,22,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
214,Chris Wood,Burnley,27,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
215,James Tarkowski,Burnley,26,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
216,Jay Rodriguez,Burnley,30,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
217,Christian Fuchs,Leicester City,33,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
218,Nampalys Mendy,Leicester City,27,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
219,Tammy Abraham,Chelsea,21,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
220,Alireza Jahanbakhsh,Brighton,25,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
221,Martín Montoya,Brighton,28,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
222,Pascal Groß,Brighton,28,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
223,Alex Iwobi,Everton,23,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
224,Oumar Niasse,Everton,29,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
225,Andrew Robertson,Liverpool,25,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
226,Ralf Fährmann,Norwich City,30,£ 49423 (€ 58940 $60060),£ 2570000 (€ 3064891 $3123118)
227,Jack Stephens,Southampton,25,£ 48077 (€ 57335 $58424),£ 2500000 (€ 2981412 $3038053)
228,Kurt Zouma,Chelsea,24,£ 45962 (€ 54812 $55853),£ 2390000 (€ 2850230 $2904379)
229,Daryl Janmaat,Watford,30,£ 45000 (€ 53665 $54685),£ 2340000 (€ 2790601 $2843618)
230,Roberto Pereyra,Watford,28,£ 45000 (€ 53665 $54685),£ 2340000 (€ 2790601 $2843618)
231,Sebastian Prödl,Watford,32,£ 45000 (€ 53665 $54685),£ 2340000 (€ 2790601 $2843618)
232,James Ward-Prowse,Southampton,24,£ 45000 (€ 53665 $54685),£ 2340000 (€ 2790601 $2843618)
233,Michel Vorm,Tottenham,35,£ 45000 (€ 53665 $54685),£ 2340000 (€ 2790601 $2843618)
234,Joshua King,Bournemouth,27,£ 45000 (€ 53665 $54685),£ 2340000 (€ 2790601 $2843618)
235,Steve Cook,Bournemouth,28,£ 45000 (€ 53665 $54685),£ 2340000 (€ 2790601 $2843618)
236,Borja Bastón,Aston Villa,26,£ 45000 (€ 53665 $54685),£ 2340000 (€ 2790601 $2843618)
237,Joe Hart,Burnley,32,£ 45000 (€ 53665 $54685),£ 2340000 (€ 2790601 $2843618)
238,Ayoze Pérez,Leicester City,26,£ 45000 (€ 53665 $54685),£ 2340000 (€ 2790601 $2843618)
239,Çağlar Söyüncü,Leicester City,23,£ 45000 (€ 53665 $54685),£ 2340000 (€ 2790601 $2843618)
240,Marc Albrighton,Leicester City,29,£ 45000 (€ 53665 $54685),£ 2340000 (€ 2790601 $2843618)
241,Matt Ritchie,Newcastle Utd,29,£ 45000 (€ 53665 $54685),£ 2340000 (€ 2790601 $2843618)
242,Davy Pröpper,Brighton,27,£ 45000 (€ 53665 $54685),£ 2340000 (€ 2790601 $2843618)
243,José Izquierdo,Brighton,27,£ 45000 (€ 53665 $54685),£ 2340000 (€ 2790601 $2843618)
244,Lewis Dunk,Brighton,27,£ 45000 (€ 53665 $54685),£ 2340000 (€ 2790601 $2843618)
245,Divock Origi,Liverpool,24,£ 45000 (€ 53665 $54685),£ 2340000 (€ 2790601 $2843618)
