Rk,Player,Squad,Age,Weekly Wages,Annual Wages
1,David de Gea,Manchester Utd,28,£ 375000 (€ 447212 $455708),£ 19500000 (€ 23255012 $23696813)
2,Mesut Özil,Arsenal,30,£ 350000 (€ 417398 $425327),£ 18200000 (€ 21704678 $22117026)
3,Kevin De Bruyne,Manchester City,28,£ 350000 (€ 417398 $425327),£ 18200000 (€ 21704678 $22117026)
4,Paul Pogba,Manchester Utd,26,£ 290000 (€ 345844 $352414),£ 15080000 (€ 17983876 $18325536)
5,Anthony Martial,Manchester Utd,23,£ 250000 (€ 298141 $303805),£ 13000000 (€ 15503341 $15797876)
6,Sergio Agüero,Manchester City,31,£ 230192 (€ 274519 $279735),£ 11970000 (€ 14274999 $14546198)
7,Marcus Rashford,Manchester Utd,21,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300)
8,Harry Kane,Tottenham,26,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300)
9,Tanguy Ndombele,Tottenham,22,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300)
10,Riyad Mahrez,Manchester City,28,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300)
11,Mohamed Salah,Liverpool,27,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300)
12,Harry Maguire,Manchester Utd,26,£ 190000 (€ 226587 $230892),£ 9880000 (€ 11782539 $12006385)
13,Alexandre Lacazette,Arsenal,28,£ 182115 (€ 217184 $221310),£ 9470000 (€ 11293588 $11508145)
14,Pierre-Emerick Aubameyang,Arsenal,30,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470)
15,Bruno Fernandes,Manchester Utd,24,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470)
16,Fernandinho,Manchester City,34,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470)
17,Nicolás Otamendi,Manchester City,31,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470)
18,Callum Hudson-Odoi,Chelsea,18,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470)
19,Roberto Firmino,Liverpool,27,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470)
20,Virgil van Dijk,Liverpool,28,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470)
21,Juan Mata,Manchester Utd,31,£ 160000 (€ 190810 $194435),£ 8320000 (€ 9922138 $10110640)
22,David Silva,Manchester City,33,£ 160000 (€ 190810 $194435),£ 8320000 (€ 9922138 $10110640)
23,Kepa Arrizabalaga,Chelsea,24,£ 152692 (€ 182095 $185555),£ 7940000 (€ 9468964 $9648856)
24,Luke Shaw,Manchester Utd,24,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725)
25,Bernardo Silva,Manchester City,24,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725)
26,Raheem Sterling,Manchester City,24,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725)
27,César Azpilicueta,Chelsea,29,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725)
28,Christian Pulisic,Chelsea,20,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725)
29,N'Golo Kanté,Chelsea,28,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725)
