Rk,Player,Squad,Age,Weekly Wages,Annual Wages
439,Jason Steele,Brighton,30,£ 15962 (€ 19035 $19397),£ 830000 (€ 989829 $1008634)
440,Nathan Patterson,Everton,19,£ 15577 (€ 18576 $18929),£ 810000 (€ 965977 $984329)
441,Ashley Fletcher,Watford,25,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
442,Ken Sema,Watford,27,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
443,Oliver Skipp,Tottenham,20,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
444,Conor Gallagher,Crystal Palace,21,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
445,Jack Harrison,Leeds United,24,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
446,Kristoffer Klaesson,Leeds United,20,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
447,Harvey Elliott,Liverpool,18,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
448,Bruno Jordão,Wolves,22,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
449,Max Kilman,Wolves,24,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
450,Nathan Collins,Burnley,20,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
451,Freddie Woodman,Newcastle Utd,24,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
452,Ethan Pinnock,Brentford,28,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
453,Joel Valencia,Brentford,26,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
454,Saman Ghoddos,Brentford,27,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
455,Sergi Canós,Brentford,24,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
456,Steven Alzate,Brighton,22,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
457,Taylor Richards,Brighton,20,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
458,Jarrad Branthwaite,Everton,19,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
459,Jonjoe Kenny,Everton,24,£ 15000 (€ 17888 $18228),£ 780000 (€ 930200 $947873)
460,Edo Kayembe,Watford,23,£ 14808 (€ 17659 $17995),£ 770000 (€ 918275 $935720)
461,Samuel Kalu,Watford,23,£ 14038 (€ 16742 $17060),£ 730000 (€ 870572 $887111)
462,Cole Palmer,Manchester City,19,£ 13462 (€ 16054 $16359),£ 700000 (€ 834795 $850655)
463,Kayky,Manchester City,18,£ 13462 (€ 16054 $16359),£ 700000 (€ 834795 $850655)
464,João Pedro,Watford,19,£ 12500 (€ 14907 $15190),£ 650000 (€ 775167 $789894)
465,Nathan Tella,Southampton,22,£ 12500 (€ 14907 $15190),£ 650000 (€ 775167 $789894)
466,Matija Šarkić,Wolves,24,£ 12500 (€ 14907 $15190),£ 650000 (€ 775167 $789894)
467,Julian Jeanvier,Brentford,29,£ 12500 (€ 14907 $15190),£ 650000 (€ 775167 $789894)
468,Rico Henry,Brentford,24,£ 11923 (€ 14219 $14489),£ 620000 (€ 739390 $753437)
469,Shandon Baptiste,Brentford,23,£ 11923 (€ 14219 $14489),£ 620000 (€ 739390 $753437)
470,Trevoh Chalobah,Chelsea,22,£ 11923 (€ 14219 $14489),£ 620000 (€ 739390 $753437)
471,Phil Foden,Manchester City,21,£ 11923 (€ 14219 $14489),£ 620000 (€ 739390 $753437)
