Rk,Player,Squad,Age,Weekly Wages,Annual Wages
94,Sokratis Papastathopoulos,Arsenal,32,£ 91923 (€ 109624 $111707),£ 4780000 (€ 5700459 $5808757)
95,Adam Lallana,Brighton,32,£ 90385 (€ 107790 $109837),£ 4700000 (€ 5605054 $5711540)
96,Martinelli,Arsenal,19,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235)
97,Shkodran Mustafi,Arsenal,28,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235)
98,Aaron Wan-Bissaka,Manchester Utd,22,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235)
99,Michy Batshuayi,Crystal Palace,26,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235)
100,Alisson,Liverpool,27,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235)
101,Diogo Jota,Liverpool,23,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235)
102,Leander Dendoncker,Wolves,25,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235)
103,James Rodríguez,Everton,29,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235)
104,Lucas Digne,Everton,27,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235)
105,Richarlison,Everton,23,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235)
106,Benjamin Mendy,Manchester City,26,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235)
107,Gabriel Jesus,Manchester City,23,£ 90000 (€ 107331 $109370),£ 4680000 (€ 5581203 $5687235)
108,Mason Mount,Chelsea,21,£ 88462 (€ 105496 $107500),£ 4600000 (€ 5485798 $5590018)
109,Baba Rahman,Chelsea,26,£ 86000 (€ 102561 $104509),£ 4472000 (€ 5333149 $5434469)
110,Pablo Marí,Arsenal,26,£ 85000 (€ 101368 $103294),£ 4420000 (€ 5271136 $5371278)
111,Diego Llorente,Leeds United,26,£ 81000 (€ 96598 $98433),£ 4212000 (€ 5023083 $5118512)
112,Eric Bailly,Manchester Utd,26,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
113,Marcos Rojo,Manchester Utd,30,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
114,Érik Lamela,Tottenham,28,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
115,Lucas Moura,Tottenham,27,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
116,Moussa Sissoko,Tottenham,30,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
117,Toby Alderweireld,Tottenham,31,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
118,Xherdan Shaqiri,Liverpool,28,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
119,Fábio Silva,Wolves,18,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
120,Islam Slimani,Leicester City,32,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
121,Jonny Evans,Leicester City,32,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
122,Joelinton,Newcastle Utd,23,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
123,Andreas Christensen,Chelsea,24,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
124,Allan,Everton,29,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
125,Fabian Delph,Everton,30,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
126,João Cancelo,Manchester City,26,£ 80000 (€ 95405 $97218),£ 4160000 (€ 4961069 $5055320)
127,Bertrand Traoré,Aston Villa,24,£ 77885 (€ 92882 $94647),£ 4050000 (€ 4829887 $4921646)
128,Cengiz Ünder,Leicester City,23,£ 77500 (€ 92424 $94180),£ 4030000 (€ 4806036 $4897341)
129,Vicente Guaita,Crystal Palace,33,£ 76923 (€ 91736 $93479),£ 4000000 (€ 4770259 $4860885)
130,Nélson Semedo,Wolves,26,£ 76923 (€ 91736 $93479),£ 4000000 (€ 4770259 $4860885)
131,Ben Godfrey,Everton,22,£ 76923 (€ 91736 $93479),£ 4000000 (€ 4770259 $4860885)
132,Cédric Soares,Arsenal,28,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
133,Jesse Lingard,Manchester Utd,27,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
134,Phil Jones,Manchester Utd,28,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
135,Danny Ings,Southampton,28,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
136,Takumi Minamino,Southampton,25,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
137,Theo Walcott,Southampton,31,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
138,Steven Bergwijn,Tottenham,22,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
139,Sébastien Haller,West Ham,26,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
140,Georginio Wijnaldum,Liverpool,29,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
141,Ollie Watkins,Aston Villa,24,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
142,Dennis Praet,Leicester City,26,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
143,Wilfred Ndidi,Leicester City,23,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
144,Andy Carroll,Newcastle Utd,31,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
145,Emerson Palmieri,Chelsea,25,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
146,Abdoulaye Doucouré,Everton,27,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
147,Jean-Philippe Gbamin,Everton,24,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
148,Yannick Bolasie,Everton,31,£ 75000 (€ 89442 $91142),£ 3900000 (€ 4651002 $4739363)
149,Rúben Dias,Manchester City,23,£ 72500 (€ 86461 $88104),£ 3770000 (€ 4495969 $4581384)
150,Sergio Romero,Manchester Utd,33,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
151,Fraser Forster,Southampton,32,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
152,Ryan Bertrand,Southampton,30,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
153,Giovani Lo Celso,Tottenham,24,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
154,Serge Aurier,Tottenham,27,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
155,Charlie Austin,West Brom,31,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
156,Angelo Ogbonna,West Ham,32,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
157,Manuel Lanzini,West Ham,27,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
158,Michail Antonio,West Ham,30,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
159,Ricardo Pereira,Leicester City,26,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
160,Jonjo Shelvey,Newcastle Utd,28,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
161,Séamus Coleman,Everton,31,£ 70000 (€ 83480 $85065),£ 3640000 (€ 4340936 $4423405)
162,Martin Ødegaard,Arsenal,21,£ 69423 (€ 82792 $84364),£ 3610000 (€ 4305159 $4386949)
163,Pablo Fornals,West Ham,24,£ 67308 (€ 80269 $81794),£ 3500000 (€ 4173976 $4253274)
164,Tomáš Souček,West Ham,25,£ 67308 (€ 80269 $81794),£ 3500000 (€ 4173976 $4253274)
165,Andre-Frank Zambo Anguissa,Fulham,24,£ 67000 (€ 79902 $81420),£ 3484000 (€ 4154895 $4233831)
166,Issa Diop,West Ham,23,£ 66923 (€ 79810 $81326),£ 3480000 (€ 4150125 $4228970)
167,Branislav Ivanović,West Brom,36,£ 66500 (€ 79306 $80812),£ 3458000 (€ 4123889 $4202235)
168,Matt Doherty,Tottenham,28,£ 65385 (€ 77975 $79457),£ 3400000 (€ 4054720 $4131752)
169,Brandon Williams,Manchester Utd,19,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
170,Oriol Romeu,Southampton,28,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
171,Davinson Sánchez,Tottenham,24,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
172,Cheikhou Kouyaté,Crystal Palace,30,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
173,Gary Cahill,Crystal Palace,34,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
174,Łukasz Fabiański,West Ham,35,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
175,Ozan Kabak,Liverpool,20,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
176,Matty Cash,Aston Villa,22,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
177,Tyrone Mings,Aston Villa,27,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
178,Allan Saint-Maximin,Newcastle Utd,23,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
179,Edouard Mendy,Chelsea,28,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
180,Michael Keane,Everton,27,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
181,Jean Seri,Fulham,29,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
182,Ederson,Manchester City,26,£ 65000 (€ 77517 $78989),£ 3380000 (€ 4030869 $4107448)
183,Nathaniel Phillips,Liverpool,23,£ 64615 (€ 77058 $78522),£ 3360000 (€ 4007017 $4083143)
184,Raphinha,Leeds United,23,£ 63500 (€ 75728 $77167),£ 3302000 (€ 3937849 $4012660)
185,Timothy Castagne,Leicester City,24,£ 63000 (€ 75132 $76559),£ 3276000 (€ 3906842 $3981065)
186,Scott McTominay,Manchester Utd,23,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
187,Jannik Vestergaard,Southampton,27,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
188,Nathan Redmond,Southampton,26,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
189,Shane Long,Southampton,33,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
190,Ben Davies,Tottenham,27,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
191,Danny Rose,Tottenham,30,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
192,Eric Dier,Tottenham,26,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
193,Connor Wickham,Crystal Palace,27,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
194,Scott Dann,Crystal Palace,33,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
195,Ben Davies,Liverpool,24,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
196,Kostas Tsimikas,Liverpool,24,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
197,Daniel Podence,Wolves,24,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
198,Kelechi Iheanacho,Leicester City,23,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
199,Wes Morgan,Leicester City,36,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
200,Cenk Tosun,Everton,29,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
201,Aleksandar Mitrović,Fulham,25,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
202,Ruben Loftus-Cheek,Fulham,24,£ 60000 (€ 71554 $72913),£ 3120000 (€ 3720802 $3791490)
203,Adrián,Liverpool,33,£ 58077 (€ 69260 $70576),£ 3020000 (€ 3601545 $3669968)
204,Rodrigo,Leeds United,29,£ 57692 (€ 68802 $70109),£ 3000000 (€ 3577694 $3645664)
205,Emil Krafth,Newcastle Utd,25,£ 57692 (€ 68802 $70109),£ 3000000 (€ 3577694 $3645664)
206,Tammy Abraham,Chelsea,22,£ 57692 (€ 68802 $70109),£ 3000000 (€ 3577694 $3645664)
207,Jeffrey Schlupp,Crystal Palace,27,£ 55962 (€ 66738 $68006),£ 2910000 (€ 3470363 $3536294)
208,Ibrahima Diallo,Southampton,21,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
209,Moussa Djenepo,Southampton,22,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
210,Andros Townsend,Crystal Palace,29,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
211,Jaïro Riedewald,Crystal Palace,23,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
212,James McArthur,Crystal Palace,32,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
213,Luka Milivojević,Crystal Palace,29,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
214,Nathaniel Clyne,Crystal Palace,29,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
215,Patrick van Aanholt,Crystal Palace,29,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
216,Kieran Gibbs,West Brom,30,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
217,Björn Engels,Aston Villa,25,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
218,Conor Coady,Wolves,27,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
219,Ben Mee,Burnley,30,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
220,Demarai Gray,Leicester City,24,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
221,Nampalys Mendy,Leicester City,28,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
222,Danny Welbeck,Brighton,29,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
223,Alphonse Areola,Fulham,27,£ 55000 (€ 65591 $66837),£ 2860000 (€ 3410735 $3475533)
224,Jean-Philippe Mateta,Crystal Palace,23,£ 53462 (€ 63756 $64968),£ 2780000 (€ 3315330 $3378315)
225,Sergio Reguilón,Tottenham,23,£ 53000 (€ 63206 $64407),£ 2756000 (€ 3286708 $3349150)
226,Sander Berge,Sheffield Utd,22,£ 52500 (€ 62610 $63799),£ 2730000 (€ 3255702 $3317554)
227,Trézéguet,Aston Villa,25,£ 52500 (€ 62610 $63799),£ 2730000 (€ 3255702 $3317554)
228,Joachim Andersen,Fulham,24,£ 52000 (€ 62013 $63192),£ 2704000 (€ 3224695 $3285958)
229,Dani Ceballos,Arsenal,23,£ 51923 (€ 61922 $63098),£ 2700000 (€ 3219925 $3281097)
230,Ben White,Brighton,22,£ 51000 (€ 60821 $61976),£ 2652000 (€ 3162682 $3222767)
231,Kenny Tete,Fulham,24,£ 51000 (€ 60821 $61976),£ 2652000 (€ 3162682 $3222767)
232,Gedson Fernandes,Tottenham,21,£ 50769 (€ 60546 $61696),£ 2640000 (€ 3148371 $3208184)
233,Calum Chambers,Arsenal,25,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
234,Gabriel Dos Santos,Arsenal,22,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
235,Mohamed Elneny,Arsenal,28,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
236,Axel Tuanzebe,Manchester Utd,22,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
237,Phil Jagielka,Sheffield Utd,37,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
238,Rhian Brewster,Sheffield Utd,20,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
239,Alex McCarthy,Southampton,30,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
240,Stuart Armstrong,Southampton,28,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
241,Harry Winks,Tottenham,24,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
242,James McCarthy,Crystal Palace,29,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
243,James Tomkins,Crystal Palace,31,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
244,Aaron Cresswell,West Ham,30,£ 50000 (€ 59628 $60761),£ 2600000 (€ 3100668 $3159575)
