Rk,Player,Squad,Age,Weekly Wages,Annual Wages
1,Gareth Bale,Tottenham,31,£ 600000 (€ 715539 $729133),£ 31200000 (€ 37208019 $37914901)
2,Kevin De Bruyne,Manchester City,29,£ 400000 (€ 477026 $486088),£ 20800000 (€ 24805346 $25276601)
3,David de Gea,Manchester Utd,29,£ 375000 (€ 447212 $455708),£ 19500000 (€ 23255012 $23696813)
4,Mesut Özil,Arsenal,32,£ 350000 (€ 417398 $425327),£ 18200000 (€ 21704678 $22117026)
5,Raheem Sterling,Manchester City,25,£ 300000 (€ 357769 $364566),£ 15600000 (€ 18604009 $18957451)
6,Paul Pogba,Manchester Utd,27,£ 290000 (€ 345844 $352414),£ 15080000 (€ 17983876 $18325536)
7,Pierre-Emerick Aubameyang,Arsenal,31,£ 250000 (€ 298141 $303805),£ 13000000 (€ 15503341 $15797876)
8,Anthony Martial,Manchester Utd,24,£ 250000 (€ 298141 $303805),£ 13000000 (€ 15503341 $15797876)
9,Sergio Agüero,Manchester City,32,£ 230192 (€ 274519 $279735),£ 11970000 (€ 14274999 $14546198)
10,Thomas Partey,Arsenal,27,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300)
11,Marcus Rashford,Manchester Utd,22,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300)
12,Harry Kane,Tottenham,27,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300)
13,Tanguy Ndombele,Tottenham,23,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300)
14,Mohamed Salah,Liverpool,28,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300)
15,Thiago Alcántara,Liverpool,29,£ 200000 (€ 238513 $243044),£ 10400000 (€ 12402673 $12638300)
16,Harry Maguire,Manchester Utd,27,£ 190000 (€ 226587 $230892),£ 9880000 (€ 11782539 $12006385)
17,Ben Chilwell,Chelsea,23,£ 190000 (€ 226587 $230892),£ 9880000 (€ 11782539 $12006385)
18,Alexandre Lacazette,Arsenal,29,£ 182115 (€ 217184 $221310),£ 9470000 (€ 11293588 $11508145)
19,Bruno Fernandes,Manchester Utd,25,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470)
20,Roberto Firmino,Liverpool,28,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470)
21,Virgil van Dijk,Liverpool,29,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470)
22,Callum Hudson-Odoi,Chelsea,19,£ 180000 (€ 214662 $218740),£ 9360000 (€ 11162406 $11374470)
23,Edinson Cavani,Manchester Utd,33,£ 173077 (€ 206405 $210327),£ 9000000 (€ 10733082 $10936991)
24,Timo Werner,Chelsea,24,£ 170000 (€ 202736 $206588),£ 8840000 (€ 10542272 $10742555)
25,Juan Mata,Manchester Utd,32,£ 160000 (€ 190810 $194435),£ 8320000 (€ 9922138 $10110640)
26,Christian Pulisic,Chelsea,21,£ 158654 (€ 189205 $192800),£ 8250000 (€ 9838659 $10025575)
27,Luke Shaw,Manchester Utd,25,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725)
28,César Azpilicueta,Chelsea,30,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725)
29,Kepa Arrizabalaga,Chelsea,25,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725)
30,Bernardo Silva,Manchester City,25,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725)
31,Fernandinho,Manchester City,35,£ 150000 (€ 178885 $182283),£ 7800000 (€ 9302005 $9478725)
32,N'Golo Kanté,Chelsea,29,£ 144231 (€ 172005 $175272),£ 7500000 (€ 8944235 $9114159)
33,Son Heung-min,Tottenham,28,£ 140000 (€ 166959 $170131),£ 7280000 (€ 8681871 $8846810)
34,James Milner,Liverpool,34,£ 140000 (€ 166959 $170131),£ 7280000 (€ 8681871 $8846810)
35,Jordan Henderson,Liverpool,30,£ 140000 (€ 166959 $170131),£ 7280000 (€ 8681871 $8846810)
36,Jamie Vardy,Leicester City,33,£ 140000 (€ 166959 $170131),£ 7280000 (€ 8681871 $8846810)
37,Kai Havertz,Chelsea,21,£ 140000 (€ 166959 $170131),£ 7280000 (€ 8681871 $8846810)
38,İlkay Gündoğan,Manchester City,29,£ 140000 (€ 166959 $170131),£ 7280000 (€ 8681871 $8846810)
39,Willian,Arsenal,31,£ 138462 (€ 165124 $168261),£ 7200000 (€ 8586466 $8749593)
40,Wilfried Zaha,Crystal Palace,27,£ 130000 (€ 155033 $157979),£ 6760000 (€ 8061737 $8214895)
41,Kasper Schmeichel,Leicester City,33,£ 130000 (€ 155033 $157979),£ 6760000 (€ 8061737 $8214895)
42,Odion Ighalo,Manchester Utd,31,£ 125000 (€ 149071 $151903),£ 6500000 (€ 7751671 $7898938)
43,Max Meyer,Crystal Palace,24,£ 125000 (€ 149071 $151903),£ 6500000 (€ 7751671 $7898938)
44,Rodri,Manchester City,24,£ 121154 (€ 144484 $147229),£ 6300000 (€ 7513158 $7655894)
45,Donny van de Beek,Manchester Utd,23,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
46,Fred,Manchester Utd,27,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
47,Nemanja Matić,Manchester Utd,31,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
48,Victor Lindelöf,Manchester Utd,26,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
49,Christian Benteke,Crystal Palace,29,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
50,Alex Oxlade-Chamberlain,Liverpool,26,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
51,Naby Keïta,Liverpool,25,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
52,Bernard,Everton,27,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
53,Yerry Mina,Everton,25,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
54,Aymeric Laporte,Manchester City,26,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
55,Riyad Mahrez,Manchester City,29,£ 120000 (€ 143108 $145827),£ 6240000 (€ 7441604 $7582980)
56,Andriy Yarmolenko,West Ham,30,£ 115000 (€ 137145 $139750),£ 5980000 (€ 7131537 $7267023)
57,André Gomes,Everton,27,£ 112308 (€ 133934 $136479),£ 5840000 (€ 6964578 $7096892)
58,Héctor Bellerín,Arsenal,25,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065)
59,Kieran Tierney,Arsenal,23,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065)
60,James Maddison,Leicester City,23,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065)
61,Jorginho,Chelsea,28,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065)
62,Olivier Giroud,Chelsea,33,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065)
63,Thiago Silva,Chelsea,35,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065)
64,Kyle Walker,Manchester City,30,£ 110000 (€ 131182 $133674),£ 5720000 (€ 6821470 $6951065)
65,Jack Grealish,Aston Villa,24,£ 105000 (€ 125219 $127598),£ 5460000 (€ 6511403 $6635108)
66,Pierre Højbjerg,Tottenham,24,£ 101923 (€ 121550 $123859),£ 5300000 (€ 6320593 $6440672)
67,David Luiz,Arsenal,33,£ 100962 (€ 120403 $122691),£ 5250000 (€ 6260965 $6379911)
68,Bernd Leno,Arsenal,28,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
69,Granit Xhaka,Arsenal,27,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
70,Nicolas Pépé,Arsenal,25,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
71,Sead Kolašinac,Arsenal,27,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
72,Dean Henderson,Manchester Utd,23,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
73,Dele Alli,Tottenham,24,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
74,Hugo Lloris,Tottenham,33,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
75,Mamadou Sakho,Crystal Palace,30,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
76,Fabinho,Liverpool,26,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
77,Joël Matip,Liverpool,28,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
78,Sadio Mané,Liverpool,28,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
79,João Moutinho,Wolves,33,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
80,Rui Patrício,Wolves,32,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
81,Antonio Rüdiger,Chelsea,27,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
82,Danny Drinkwater,Chelsea,30,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
83,Hakim Ziyech,Chelsea,27,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
84,Marcos Alonso,Chelsea,29,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
85,Mateo Kovačić,Chelsea,26,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
86,Reece James,Chelsea,20,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
87,Gylfi Sigurðsson,Everton,30,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
88,Jordan Pickford,Everton,26,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
89,John Stones,Manchester City,26,£ 100000 (€ 119256 $121522),£ 5200000 (€ 6201336 $6319150)
90,Jarrod Bowen,West Ham,23,£ 96154 (€ 114670 $116848),£ 5000000 (€ 5962824 $6076106)
91,Ross Barkley,Aston Villa,26,£ 96154 (€ 114670 $116848),£ 5000000 (€ 5962824 $6076106)
92,Alex Telles,Manchester Utd,27,£ 93077 (€ 111000 $113109),£ 4840000 (€ 5772013 $5881671)
93,Nathan Aké,Manchester City,25,£ 92308 (€ 110083 $112174),£ 4800000 (€ 5724311 $5833062)
